,ID,Vote_time,therm_sens,mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.hr_60,grad.hr_60,sd.hr_60,mean.WristT_60,grad.WristT_60,sd.WristT_60,mean.PantT_60,grad.PantT_60,sd.PantT_60
1558,13,4/24/2017 8:08,-0.5,11.0,0.003916084,0.085280287,82.83333333,0.062937063,1.193416283,1.141666667,0.022867133,0.627344089,24.5,0.071328671,3.0,69.49802567,-0.139901216,38.45021467,34.4085,-0.000288136,0.309312113,20.689,-9.5e-05,0.007745967
1559,13,4/24/2017 9:19,-0.4,11.24166667,0.001608392,0.051492865,86.16666667,0.058741259,1.114640858,1.875,0.014615385,0.615149649,58.0,0.18041958,8.94427191,71.15222141,-0.095729868,19.76253313,27.68166667,-0.195736038,4.76175376,21.294,0.000601278,0.657306265
1560,13,4/24/2017 10:44,-0.1,11.75833333,0.004965035,0.108362467,87.91666667,0.032867133,0.99620492,2.7,0.016643357,0.688872597,145.5833333,2.066433566,43.60037184,64.36850875,0.130548797,4.827064581,33.11783333,0.017008336,0.318450122,22.61983333,0.007709642,0.202036175
1561,13,4/24/2017 12:10,-0.5,12.35384615,-0.003076923,0.14500221,88.61538462,0.054945055,1.32529629,1.869230769,-0.001318681,0.736415435,208.4615385,-1.192307692,50.95686965,64.46542627,-0.05770223,5.961961496,34.391,0.009070297,0.17786588,22.669,0.011688247,0.260519039
1562,13,4/24/2017 13:15,0.0,12.40769231,0.008571429,0.175411604,89.92307692,-0.026373626,0.759554525,2.015384615,0.006043956,0.773354332,165.5384615,-0.416483516,31.66653171,66.38100528,0.011788215,5.56150611,34.63116667,0.008554876,0.163521539,22.827,-6.06e-05,0.117029621
1563,13,4/24/2017 14:13,-0.4,12.83636364,0.011090909,0.215743956,88.81818182,-0.018181818,0.603022689,2.6,-0.005818182,0.389871774,199.4545455,0.529090909,33.85369592,66.39568966,0.04445764,5.898834182,33.74344828,-0.070541696,1.375250601,23.28448276,-0.015123812,0.572854265
1564,13,4/24/2017 15:10,-0.4,12.61666667,-0.004335664,0.126730446,90.83333333,0.047552448,1.029857301,2.408333333,-0.009160839,0.512495381,146.0833333,-0.588111888,35.26125438,74.78479532,0.197440813,7.748677521,30.70631579,-0.010591133,0.330122443,22.7054386,0.012024242,0.228004309
1565,13,4/24/2017 17:10,-0.4,12.79230769,0.002307692,0.075955453,90.23076923,-0.004395604,0.43852901,2.461538462,-0.008901099,0.540891951,102.5384615,0.472527473,39.60769156,72.44055556,-0.14055874,12.46910357,31.229,-0.001542651,0.275353086,23.53833333,0.020376771,0.389076119
1566,13,4/24/2017 18:10,-0.2,12.9,-0.002237762,0.060302269,87.08333333,-0.031468531,0.99620492,2.783333333,0.011608392,0.56862407,121.1666667,0.005594406,34.37449724,66.36492496,-0.027852911,5.895811491,31.18116667,0.031449569,0.780271773,23.6485,-0.007560711,0.254437399
1567,13,4/24/2017 19:11,-0.4,12.76666667,0.004755245,0.177525073,87.0,-0.085314685,2.374102701,3.016666667,-0.012167832,0.507817672,83.41666667,-0.691608392,21.45379108,62.09916667,-0.133115991,6.156331382,34.25533333,0.008951931,0.183344324,23.46333333,-0.012111698,0.341202592
1568,13,4/24/2017 20:27,0.1,12.56666667,-0.010806452,0.217944947,79.66666667,0.022580645,0.707106781,2.222222222,0.002311828,0.319287401,8.555555556,-0.441397849,9.342257638,70.43848931,0.186235901,6.599718542,33.61483333,-0.015588497,0.330999983,22.83316667,0.005013337,0.232360705
1569,13,4/24/2017 21:10,0.2,12.03333333,-0.01,0.141421356,80.66666667,0.03,0.5,1.877777778,-0.007,0.443784232,0.0,0.0,0.0,68.03733956,0.078153427,14.32983358,33.45186047,-0.013699789,0.321664242,22.79906977,-0.007774086,0.108536015
1570,13,4/24/2017 22:10,-0.3,11.77,-0.002189566,0.067494856,80.2,-0.000587803,0.421637021,1.94,-0.036414401,0.774883504,0.0,0.0,0.0,67.66888889,-0.19382591,9.339172812,33.30916667,0.021368991,0.47627898,22.75833333,-0.002337316,0.067752457
1571,13,4/25/2017 7:59,-0.4,10.9,0.005636364,0.1,75.81818182,-0.023636364,0.750757194,0.427272727,0.004181818,0.349545159,50.36363636,0.714545455,15.0550505,,,,33.9295,0.004340372,0.168053916,20.095,-0.00145207,0.029830027
