,ID,Vote_time,therm_sens,mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.hr_60,grad.hr_60,sd.hr_60,mean.WristT_60,grad.WristT_60,sd.WristT_60,mean.PantT_60,grad.PantT_60,sd.PantT_60
2951,11,5/16/2017 12:07,-0.7,11.34166667,-0.00048951,0.066855792,91.33333333,0.032167832,0.651338947,2.416666667,-0.001818182,0.480214598,151.75,-0.104195804,19.38192691,111.1941309,0.023563729,8.610283596,29.86016667,-0.035516255,1.65826486,19.24180328,-0.074093601,2.629476823
2954,11,5/16/2017 14:00,-0.2,12.45714286,0.020714286,0.250713268,90.85714286,-0.107142857,1.345185418,2.8,0.049285714,0.787400787,317.5714286,5.7,69.59132404,79.65460526,-3.824568451,12.14797835,29.5130303,-0.016423797,0.774945502,19.79909091,0.149070856,1.752629032
2955,11,5/16/2017 14:53,-0.4,13.35,-0.010545455,0.259272486,86.2,0.00969697,0.788810638,2.31,0.001818182,0.517365119,416.7,-7.113939394,174.0568553,73.30671736,-0.263265394,9.679214543,30.89811321,-0.041951298,0.75533247,24.56735849,0.042417352,1.06081636
2956,11,5/16/2017 16:13,0.2,12.90833333,-0.004825175,0.339674532,86.58333333,0.037062937,1.164500153,3.358333333,0.007062937,1.048339235,250.3333333,-1.772027972,86.55143855,110.8126456,0.382366191,15.16126713,29.85366667,0.053891637,1.464341081,20.97098361,-0.05341248,1.428019263
2957,11,5/16/2017 18:40,0.3,11.53076923,-0.003516484,0.103155347,93.76923077,-0.007692308,0.43852901,3.146153846,-0.007032967,0.630628502,93.23076923,-1.428571429,39.7264686,80.98412698,0.083916724,7.348606412,31.0125,0.005585718,0.42701417,24.23,0.004368059,0.538182125
2959,11,5/16/2017 19:06,-0.3,11.46666667,4.83e-13,0.057735027,92.66666667,0.1,0.577350269,2.666666667,-0.09,0.450924975,40.66666667,-1.8,9.018499506,109.1655716,-1.097338933,7.432958076,29.68384615,-0.032637363,0.154733021,19.07,0.318681319,1.3255502
2960,11,5/16/2017 21:08,-0.1,10.81666667,-0.001398601,0.038924947,95.25,-0.000699301,0.452267017,2.175,-0.008181818,0.653834842,0.0,0.0,0.0,97.55664886,0.016639281,9.713787055,31.5915,-0.015185607,0.638156309,21.43836066,-0.01347541,0.431316513
2962,11,5/16/2017 22:09,0.2,10.81428571,0.005504135,0.089973541,95.28571429,-0.003643167,0.487950036,2.814285714,-0.034541158,0.760325745,0.0,0.0,0.0,107.5458731,-0.613124446,15.97621434,32.26862745,0.045470588,1.048761211,21.78686275,0.105521267,2.048599024
2963,11,5/16/2017 23:49,0.5,11.00833333,0.003846154,0.090033664,95.16666667,-0.026573427,0.577350269,1.858333333,-0.013216783,0.597659577,0.0,0.0,0.0,,,,20.7855,0.147851903,4.076285874,23.63672131,-0.130677948,2.503848851
2964,11,5/17/2017 0:07,-0.3,11.225,0.014,0.095742711,91.75,-0.14,0.957427108,1.8,0.0,0.0,0.0,0.0,0.0,,,,32.77444444,0.011413829,0.136735994,20.53833333,0.017739938,0.097694
2966,11,5/17/2017 9:37,0.3,11.95714286,0.026428571,0.287849167,78.42857143,-0.114285714,1.272418021,1.257142857,0.007142857,0.3047247,579.1428571,2.4,25.98351126,104.1547972,-0.594747116,15.22622657,29.48171429,0.046397759,0.725098313,21.15514286,0.337672269,3.655787009
2967,11,5/17/2017 10:03,0.4,12.66,0.022,0.181659021,75.4,-0.08,0.894427191,0.78,0.002,0.38340579,657.2,2.56,20.31501907,109.1391586,1.189450954,19.59517561,31.54461538,-0.008820513,0.565885011,22.56192308,-0.372536752,3.627640577
2968,11,5/17/2017 10:55,-0.2,13.65,0.028969697,0.442844342,71.3,-0.127272727,2.002775851,1.46,-0.017939394,0.424787529,730.9,1.647272727,25.82182539,92.50080205,-0.336738705,9.576850297,32.29442308,0.053752668,0.921942564,23.00615385,0.026126526,0.694632513
2969,11,5/17/2017 13:36,-0.1,16.425,0.001608392,0.154478595,57.75,-0.016083916,0.753778361,1.816666667,-0.004755245,0.29797295,945.8333333,0.26993007,5.474458601,93.9669475,0.517212565,15.27100014,33.1545,-0.057591831,1.112201093,25.06704918,-0.098777895,2.05492688
2970,11,5/17/2017 14:27,0.3,17.15555556,-0.004416667,0.316666667,53.88888889,-0.064166667,1.536590743,2.122222222,-0.002916667,0.290593263,932.8888889,-0.601666667,10.22795733,95.62311722,0.752202072,14.79559614,31.59666667,-0.035143891,0.852198725,21.85137255,-0.017880543,0.82821258
2971,11,5/17/2017 15:04,-0.3,16.68,-0.006486486,0.164316767,53.6,-0.008108108,0.547722558,1.48,0.034054054,0.402492236,886.2,-1.354054054,13.02689526,91.35998193,-0.187336357,4.677879336,31.68702703,-0.033864391,0.691929126,22.36648649,-0.026171171,0.664610229
2972,11,5/17/2017 16:08,-0.4,16.67272727,0.005656051,0.184883256,49.90909091,-0.054012739,1.375103302,2.145454545,0.005847134,0.617031014,791.0,-2.261656051,43.30588875,83.8952581,-0.221135628,8.360326553,30.39533333,0.014256738,0.386792401,22.89754098,-0.001068218,0.728781302
2973,11,5/17/2017 17:49,0.5,16.91666667,0.001678322,0.10298573,47.25,-0.051048951,1.215431087,0.916666667,-0.002097902,0.413044865,441.25,-9.253846154,196.1141249,115.403352,-1.203737458,25.37487344,30.54033333,0.104530703,2.111575817,22.17721311,0.053586991,1.021236393
2974,11,5/17/2017 18:35,0.2,16.6,-0.012363636,0.205480467,51.6,0.186666667,2.913569784,0.55,-0.001818182,0.241522946,103.3,-0.243636364,48.99671191,95.47940211,-0.387011532,11.15987829,31.29869565,0.01933395,0.428468117,22.98304348,-0.014679001,0.357478015
